product_id,product_name,category,category_broad,details,price,offer,status
P1093,Ethnic Wear 94,Ethnic Wear,clothing,Elegant cotton kurta with intricate designs,4685,No discount,fresh_arrivals
P1094,Belts 95,Belts,accessories,Versatile synthetic belt for casual outfits,800,20% Off,offer/sale/discount
P1095,Ethnic Wear 96,Ethnic Wear,clothing,Elegant cotton kurta with intricate designs,1408,20% Off,offer/sale/discount
P1096,Hoodies 97,Hoodies,clothing,Stylish cotton hoodie with a relaxed fit,4650,No discount,fresh_arrivals
P1097,Sandals 98,Sandals,footwear,Comfortable synthetic sandals for casual wear,757,No discount,fresh_arrivals
P1098,Jeans 99,Jeans,clothing,Classic denim with a modern twist,1740,Flat 50% Off,offer/sale/discount
P1099,Sunglasses 100,Sunglasses,accessories,UV protection sunglasses for sunny days,633,Flat 50% Off,offer/sale/discount
P1100,Watches 101,Watches,accessories,Classic analog watch with a leather strap,3745,No discount,Limited Edition
P1101,Casual Shoes 102,Casual Shoes,footwear,Canvas sneakers perfect for casual outings,4871,20% Off,offer/sale/discount
P1102,Shorts 103,Shorts,clothing,Quick-drying polyester shorts for active wear,1618,No discount,fresh_arrivals
P1103,T-Shirts 104,Tshirts,clothing,Breathable cotton fabric ideal for everyday wear,2463,20% Off,offer/sale/discount
P1104,Hoodies 105,Hoodies,clothing,Stylish cotton hoodie with a relaxed fit,4024,Flat 50% Off,offer/sale/discount
P1105,Formal Shoes 106,Formal Shoes,footwear,Durable synthetic material with a sleek finish,1832,Flat 50% Off,offer/sale/discount
P1106,Shirts 107,Shirts,clothing,Crafted from soft cotton for ultimate comfort,4962,No discount,Limited Edition
P1107,Belts 108,Belts,accessories,Elegant leather belt for formal wear,4144,Buy 1 Get 1,offer/sale/discount
P1108,Sandals 109,Sandals,footwear,Comfortable synthetic sandals for casual wear,3541,20% Off,offer/sale/discount
P1109,Sandals 110,Sandals,footwear,Comfortable synthetic sandals for casual wear,2510,Buy 1 Get 1,offer/sale/discount
P1110,Ethnic Wear 111,Ethnic Wear,clothing,Elegant cotton kurta with intricate designs,1382,20% Off,offer/sale/discount
P1111,Casual Shoes 112,Casual Shoes,footwear,Comfortable leather loafers for everyday use,1539,No discount,fresh_arrivals
P1112,Sunglasses 113,Sunglasses,accessories,UV protection sunglasses for sunny days,2655,No discount,fresh_arrivals
P1113,Formal Shoes 114,Formal Shoes,footwear,Polished leather shoes for formal events,4907,No discount,fresh_arrivals
P1114,Sweaters 115,Sweaters,clothing,Soft cashmere sweater for a touch of luxury,1363,Flat 50% Off,offer/sale/discount
P1115,Hoodies 116,Hoodies,clothing,Cozy fleece interior for extra warmth,1326,20% Off,offer/sale/discount
P1116,T-Shirts 117,Tshirts,clothing,Breathable cotton fabric ideal for everyday wear,4283,20% Off,offer/sale/discount
P1117,Hoodies 118,Hoodies,clothing,Cozy fleece interior for extra warmth,2720,No discount,fresh_arrivals
P1118,Ethnic Wear 119,Ethnic Wear,clothing,Traditional silk kurta for festive occasions,1924,No discount,fresh_arrivals
P1119,Sunglasses 120,Sunglasses,accessories,UV protection sunglasses for sunny days,1778,Flat 50% Off,offer/sale/discount
P1120,Jackets 121,Jackets,clothing,Genuine leather jacket with a rugged look,4365,Clearance Sale,offer/sale/discount
P1121,Ethnic Wear 122,Ethnic Wear,clothing,Elegant cotton kurta with intricate designs,2386,No discount,fresh_arrivals
P1122,Jackets 123,Jackets,clothing,Trendy denim jacket for casual outings,2898,Clearance Sale,offer/sale/discount
P1123,Sandals 124,Sandals,footwear,Stylish leather sandals for summer,2592,No discount,fresh_arrivals
P1124,Casual Shoes 125,Casual Shoes,footwear,Canvas sneakers perfect for casual outings,3389,20% Off,offer/sale/discount
P1125,T-Shirts 126,Tshirts,clothing,Casual and comfortable blended material,2842,Buy 1 Get 1,offer/sale/discount
P1126,Ethnic Wear 127,Ethnic Wear,clothing,Elegant cotton kurta with intricate designs,4619,No discount,fresh_arrivals
P1127,T-Shirts 128,Tshirts,clothing,Breathable cotton fabric ideal for everyday wear,2734,No discount,fresh_arrivals
P1128,Belts 129,Belts,accessories,Elegant leather belt for formal wear,1281,No discount,fresh_arrivals
P1129,Hoodies 130,Hoodies,clothing,Stylish cotton hoodie with a relaxed fit,4772,No discount,fresh_arrivals
P1130,Casual Shoes 131,Casual Shoes,footwear,Comfortable leather loafers for everyday use,3367,No discount,fresh_arrivals
P1131,Jackets 132,Jackets,clothing,Genuine leather jacket with a rugged look,2928,No discount,fresh_arrivals
P1132,Sunglasses 133,Sunglasses,accessories,UV protection sunglasses for sunny days,3128,No discount,Limited Edition
P1133,Boxers 134,Boxers,clothing,Soft cotton boxers for all-day comfort,2538,No discount,fresh_arrivals
P1134,Casual Shoes 135,Casual Shoes,footwear,Canvas sneakers perfect for casual outings,1650,Flat 50% Off,offer/sale/discount
P1135,Sandals 136,Sandals,footwear,Comfortable synthetic sandals for casual wear,4899,No discount,Limited Edition
P1136,Sweaters 137,Sweaters,clothing,Warm wool knit for chilly days,1491,Flat 50% Off,offer/sale/discount
P1137,Jeans 138,Jeans,clothing,Classic denim with a modern twist,2977,No discount,fresh_arrivals
P1138,Watches 139,Watches,accessories,Modern digital watch with various features,3566,No discount,fresh_arrivals
P1139,Formal Shoes 140,Formal Shoes,footwear,Durable synthetic material with a sleek finish,4857,No discount,Limited Edition
P1140,Shorts 141,Shorts,clothing,Quick-drying polyester shorts for active wear,4112,20% Off,offer/sale/discount
P1141,Belts 142,Belts,accessories,Versatile synthetic belt for casual outfits,1287,Flat 50% Off,offer/sale/discount
P1142,Ethnic Wear 143,Ethnic Wear,clothing,Traditional silk kurta for festive occasions,993,No discount,fresh_arrivals
P1143,Formal Shoes 144,Formal Shoes,footwear,Durable synthetic material with a sleek finish,2016,20% Off,offer/sale/discount
P1144,Shirts 145,Shirts,clothing,Crafted from soft cotton for ultimate comfort,4087,Buy 1 Get 1,offer/sale/discount
P1145,Formal Shoes 146,Formal Shoes,footwear,Polished leather shoes for formal events,2908,No discount,fresh_arrivals
P1146,Hoodies 147,Hoodies,clothing,Cozy fleece interior for extra warmth,3634,Buy 1 Get 1,offer/sale/discount
P1147,Sandals 148,Sandals,footwear,Stylish leather sandals for summer,786,20% Off,offer/sale/discount
P1148,Casual Shoes 149,Casual Shoes,footwear,Comfortable leather loafers for everyday use,4340,No discount,fresh_arrivals
P1149,Shorts 150,Shorts,clothing,Quick-drying polyester shorts for active wear,1566,Flat 50% Off,offer/sale/discount
P1150,Shorts 151,Shorts,clothing,Quick-drying polyester shorts for active wear,4149,Clearance Sale,offer/sale/discount
P1151,Ethnic Wear 152,Ethnic Wear,clothing,Traditional silk kurta for festive occasions,4186,Flat 50% Off,offer/sale/discount
P1152,Watches 153,Watches,accessories,Modern digital watch with various features,3169,No discount,fresh_arrivals
P1153,Sweaters 154,Sweaters,clothing,Soft cashmere sweater for a touch of luxury,1083,No discount,fresh_arrivals
P1154,Sweaters 155,Sweaters,clothing,Warm wool knit for chilly days,3073,No discount,fresh_arrivals
P1155,Formal Shoes 156,Formal Shoes,footwear,Durable synthetic material with a sleek finish,2378,Buy 1 Get 1,offer/sale/discount
P1156,Watches 157,Watches,accessories,Modern digital watch with various features,2061,No discount,fresh_arrivals
P1157,Sweaters 158,Sweaters,clothing,Warm wool knit for chilly days,2431,No discount,fresh_arrivals
P1158,Casual Shoes 159,Casual Shoes,footwear,Comfortable leather loafers for everyday use,1416,20% Off,offer/sale/discount
P1159,Ethnic Wear 160,Ethnic Wear,clothing,Traditional silk kurta for festive occasions,3484,No discount,fresh_arrivals
P1160,Jeans 161,Jeans,clothing,Stretch denim for added comfort and flexibility,4773,No discount,fresh_arrivals
P1161,Hoodies 162,Hoodies,clothing,Cozy fleece interior for extra warmth,672,No discount,fresh_arrivals
P1162,Ethnic Wear 163,Ethnic Wear,clothing,Elegant cotton kurta with intricate designs,4954,20% Off,offer/sale/discount
P1163,Shorts 164,Shorts,clothing,Quick-drying polyester shorts for active wear,3491,20% Off,offer/sale/discount
P1164,Belts 165,Belts,accessories,Elegant leather belt for formal wear,4981,No discount,fresh_arrivals
P1165,Belts 166,Belts,accessories,Versatile synthetic belt for casual outfits,1412,No discount,fresh_arrivals
P1166,Sweaters 167,Sweaters,clothing,Soft cashmere sweater for a touch of luxury,3756,Buy 1 Get 1,offer/sale/discount
P1167,Shirts 168,Shirts,clothing,Crafted from soft cotton for ultimate comfort,4087,Flat 50% Off,offer/sale/discount
P1168,Sunglasses 169,Sunglasses,accessories,Polarized sunglasses for clear vision,4671,20% Off,offer/sale/discount
P1169,Watches 170,Watches,accessories,Classic analog watch with a leather strap,2581,No discount,fresh_arrivals
P1170,Ethnic Wear 171,Ethnic Wear,clothing,Traditional silk kurta for festive occasions,3490,No discount,fresh_arrivals
P1171,T-Shirts 172,Tshirts,clothing,Casual and comfortable blended material,4253,No discount,fresh_arrivals
P1172,Ethnic Wear 173,Ethnic Wear,clothing,Elegant cotton kurta with intricate designs,4513,Flat 50% Off,offer/sale/discount
P1173,Belts 174,Belts,accessories,Versatile synthetic belt for casual outfits,4547,20% Off,offer/sale/discount
P1174,Sandals 175,Sandals,footwear,Stylish leather sandals for summer,2238,Flat 50% Off,offer/sale/discount
P1175,Sweaters 176,Sweaters,clothing,Warm wool knit for chilly days,891,No discount,fresh_arrivals
P1176,Shirts 177,Shirts,clothing,Crafted from soft cotton for ultimate comfort,677,No discount,fresh_arrivals
P1177,Sweaters 178,Sweaters,clothing,Soft cashmere sweater for a touch of luxury,1851,20% Off,offer/sale/discount
P1178,Jackets 179,Jackets,clothing,Trendy denim jacket for casual outings,1279,No discount,fresh_arrivals
P1179,Boxers 180,Boxers,clothing,Soft cotton boxers for all-day comfort,4735,20% Off,offer/sale/discount
P1180,Shirts 181,Shirts,clothing,Made with premium linen for a luxurious feel,3928,20% Off,offer/sale/discount
P1181,Boxers 182,Boxers,clothing,Blended material boxers with a snug fit,2140,Clearance Sale,offer/sale/discount
P1182,Jackets 183,Jackets,clothing,Genuine leather jacket with a rugged look,4390,Buy 1 Get 1,offer/sale/discount
P1183,Shorts 184,Shorts,clothing,Quick-drying polyester shorts for active wear,4820,No discount,Limited Edition
P1184,Jeans 185,Jeans,clothing,Stretch denim for added comfort and flexibility,3889,No discount,fresh_arrivals
P1185,Sunglasses 186,Sunglasses,accessories,UV protection sunglasses for sunny days,3801,Flat 50% Off,offer/sale/discount
P1186,Sweaters 187,Sweaters,clothing,Warm wool knit for chilly days,3800,Buy 1 Get 1,offer/sale/discount
P1187,Belts 188,Belts,accessories,Versatile synthetic belt for casual outfits,3382,Flat 50% Off,offer/sale/discount
P1188,Jeans 189,Jeans,clothing,Stretch denim for added comfort and flexibility,2998,No discount,fresh_arrivals
P1189,Boxers 190,Boxers,clothing,Soft cotton boxers for all-day comfort,2579,20% Off,offer/sale/discount
P1190,Shirts 191,Shirts,clothing,Elegant silk design perfect for formal occasions,1657,Flat 50% Off,offer/sale/discount
P1191,Jeans 192,Jeans,clothing,Classic denim with a modern twist,1174,No discount,fresh_arrivals
P1192,Formal Shoes 193,Formal Shoes,footwear,Durable synthetic material with a sleek finish,3288,Buy 1 Get 1,offer/sale/discount
P1193,Belts 194,Belts,accessories,Versatile synthetic belt for casual outfits,3704,No discount,Limited Edition
P1194,Sweaters 195,Sweaters,clothing,Soft cashmere sweater for a touch of luxury,4353,No discount,fresh_arrivals
P1195,Shirts 196,Shirts,clothing,Made with premium linen for a luxurious feel,2812,No discount,fresh_arrivals
P1196,Watches 197,Watches,accessories,Modern digital watch with various features,3324,No discount,Limited Edition
P1197,Belts 198,Belts,accessories,Elegant leather belt for formal wear,2292,No discount,fresh_arrivals
P1198,Hoodies 199,Hoodies,clothing,Cozy fleece interior for extra warmth,1959,No discount,fresh_arrivals
P1199,Sandals 200,Sandals,footwear,Comfortable synthetic sandals for casual wear,1598,No discount,fresh_arrivals
P1200,Jeans 201,Jeans,clothing,Stretch denim for added comfort and flexibility,1657,No discount,fresh_arrivals
P1201,Shirts 202,Shirts,clothing,Made with premium linen for a luxurious feel,698,No discount,fresh_arrivals
P1202,Sweaters 203,Sweaters,clothing,Soft cashmere sweater for a touch of luxury,521,Flat 50% Off,offer/sale/discount
P1203,Shorts 204,Shorts,clothing,Lightweight cotton shorts for hot days,4018,20% Off,offer/sale/discount
P1204,Jeans 205,Jeans,clothing,Stretch denim for added comfort and flexibility,1891,20% Off,offer/sale/discount
P1205,Ethnic Wear 206,Ethnic Wear,clothing,Elegant cotton kurta with intricate designs,4742,20% Off,offer/sale/discount
P1206,Belts 207,Belts,accessories,Elegant leather belt for formal wear,906,No discount,fresh_arrivals
P1207,Jeans 208,Jeans,clothing,Classic denim with a modern twist,4228,No discount,fresh_arrivals
P1208,Sweaters 209,Sweaters,clothing,Warm wool knit for chilly days,503,Clearance Sale,offer/sale/discount
P1209,Shirts 210,Shirts,clothing,Crafted from soft cotton for ultimate comfort,3208,No discount,fresh_arrivals
P1210,Shorts 211,Shorts,clothing,Quick-drying polyester shorts for active wear,1657,Clearance Sale,offer/sale/discount
P1211,Jeans 212,Jeans,clothing,Stretch denim for added comfort and flexibility,1646,No discount,fresh_arrivals
P1212,Jackets 213,Jackets,clothing,Genuine leather jacket with a rugged look,2607,No discount,fresh_arrivals
P1213,Jeans 214,Jeans,clothing,Classic denim with a modern twist,1835,No discount,fresh_arrivals
P1214,Ethnic Wear 215,Ethnic Wear,clothing,Traditional silk kurta for festive occasions,3278,Buy 1 Get 1,offer/sale/discount
P1215,Sandals 216,Sandals,footwear,Comfortable synthetic sandals for casual wear,2871,Clearance Sale,offer/sale/discount
P1216,Ethnic Wear 217,Ethnic Wear,clothing,Elegant cotton kurta with intricate designs,2425,Flat 50% Off,offer/sale/discount
P1217,Formal Shoes 218,Formal Shoes,footwear,Durable synthetic material with a sleek finish,2930,Flat 50% Off,offer/sale/discount
P1218,Formal Shoes 219,Formal Shoes,footwear,Durable synthetic material with a sleek finish,3502,No discount,fresh_arrivals
P1219,Belts 220,Belts,accessories,Versatile synthetic belt for casual outfits,2149,Buy 1 Get 1,offer/sale/discount
P1220,Formal Shoes 221,Formal Shoes,footwear,Polished leather shoes for formal events,3094,No discount,fresh_arrivals
P1221,T-Shirts 222,Tshirts,clothing,Durable polyester blend for active lifestyles,902,Flat 50% Off,offer/sale/discount
P1222,Jackets 223,Jackets,clothing,Genuine leather jacket with a rugged look,633,Buy 1 Get 1,offer/sale/discount
P1223,Sweaters 224,Sweaters,clothing,Soft cashmere sweater for a touch of luxury,4619,Buy 1 Get 1,offer/sale/discount
P1224,T-Shirts 225,Tshirts,clothing,Breathable cotton fabric ideal for everyday wear,3024,No discount,fresh_arrivals
P1225,Casual Shoes 226,Casual Shoes,footwear,Comfortable leather loafers for everyday use,4247,No discount,fresh_arrivals
P1226,Jackets 227,Jackets,clothing,Water-resistant synthetic material for all weather,4610,No discount,fresh_arrivals
P1227,Formal Shoes 228,Formal Shoes,footwear,Durable synthetic material with a sleek finish,4907,Flat 50% Off,offer/sale/discount
P1228,Belts 229,Belts,accessories,Versatile synthetic belt for casual outfits,1067,No discount,fresh_arrivals
P1229,Sandals 230,Sandals,footwear,Stylish leather sandals for summer,3883,No discount,fresh_arrivals
P1230,Casual Shoes 231,Casual Shoes,footwear,Canvas sneakers perfect for casual outings,2647,Buy 1 Get 1,offer/sale/discount
P1231,Ethnic Wear 232,Ethnic Wear,clothing,Traditional silk kurta for festive occasions,1955,No discount,fresh_arrivals
P1232,Boxers 233,Boxers,clothing,Blended material boxers with a snug fit,2476,No discount,fresh_arrivals
P1233,Formal Shoes 234,Formal Shoes,footwear,Polished leather shoes for formal events,1935,20% Off,offer/sale/discount
P1234,Jeans 235,Jeans,clothing,Classic denim with a modern twist,987,No discount,fresh_arrivals
P1235,Belts 236,Belts,accessories,Elegant leather belt for formal wear,2293,Buy 1 Get 1,offer/sale/discount
P1236,Sunglasses 237,Sunglasses,accessories,UV protection sunglasses for sunny days,2360,No discount,fresh_arrivals
P1237,T-Shirts 238,Tshirts,clothing,Casual and comfortable blended material,986,No discount,fresh_arrivals
P1238,Shirts 239,Shirts,clothing,Crafted from soft cotton for ultimate comfort,657,No discount,fresh_arrivals
P1239,Hoodies 240,Hoodies,clothing,Stylish cotton hoodie with a relaxed fit,1349,Flat 50% Off,offer/sale/discount
P1240,Sandals 241,Sandals,footwear,Comfortable synthetic sandals for casual wear,3930,No discount,fresh_arrivals
P1241,Boxers 242,Boxers,clothing,Blended material boxers with a snug fit,2652,Flat 50% Off,offer/sale/discount
P1242,Shirts 243,Shirts,clothing,Crafted from soft cotton for ultimate comfort,4621,Buy 1 Get 1,offer/sale/discount
P1243,Jeans 244,Jeans,clothing,Classic denim with a modern twist,1734,20% Off,offer/sale/discount
P1244,Boxers 245,Boxers,clothing,Blended material boxers with a snug fit,3306,Buy 1 Get 1,offer/sale/discount
P1245,Ethnic Wear 246,Ethnic Wear,clothing,Elegant cotton kurta with intricate designs,4999,No discount,fresh_arrivals
P1246,Shorts 247,Shorts,clothing,Lightweight cotton shorts for hot days,4694,No discount,fresh_arrivals
P1247,Watches 248,Watches,accessories,Classic analog watch with a leather strap,634,20% Off,offer/sale/discount
P1248,Formal Shoes 249,Formal Shoes,footwear,Durable synthetic material with a sleek finish,2600,No discount,fresh_arrivals
P1249,Shorts 250,Shorts,clothing,Lightweight cotton shorts for hot days,2468,20% Off,offer/sale/discount
P1250,Belts 251,Belts,accessories,Elegant leather belt for formal wear,3604,No discount,Limited Edition
P1251,Hoodies 252,Hoodies,clothing,Stylish cotton hoodie with a relaxed fit,2521,20% Off,offer/sale/discount
P1252,Boxers 253,Boxers,clothing,Soft cotton boxers for all-day comfort,839,No discount,fresh_arrivals
